Year,State,Metadata
2021,Oklahoma,"Electric Vehicle (EV) and Plug-In Hybrid Electric Vehicle (PHEV) Fee, EV owners must pay an annual vehicle registration fee in addition to
standard vehicle registration fees. Fee amounts vary depending on the
gross vehicle weight rating (GVWR) of the vehicle:

  GVWR                           Annual EV Registration Fee   Annual PHEV Registration Fee
  ------------------------------ ---------------------------- ------------------------------
  6,000 pounds (lbs.) or below   \$110                        \$82
  6,001 lbs. to 10,000 lbs.      \$158                        \$118
  10,001 lbs. to 26,500 lbs.     \$363                        \$272
  Greater than 26,501 lbs.       \$2,250                      \$1,687

A percentage of the revenue from the annual fee will be apportioned to
the Driving on Road Infrastructure with Vehicles of Electricity (DRIVE)
Revolving Fund.

(Reference [Oklahoma Statutes 68-6511](http://www.oklegislature.gov)), Laws and Regulations, 5.0, ELEC|PHEV, EVFEE|FUEL, FLEET|IND, http://www.oklegislature.gov|http://www.oklegislature.gov, enacted"
2021,Oklahoma,"Hydrogen Infrastructure Support, The Hydrogen Production, Transportation, and Infrastructure Task Force
(Task Force) must evaluate incentives to develop hydrogen technology and
infrastructure and the viability of existing hydrogen resources and
infrastructure. In December 2021, the Task Force submitted a
[report](https://oklahoma.gov/content/dam/ok/en/governor/documents/Hydrogen%20Production%20Task%20Force%20Report.pdf)
of its findings and recommendations to the legislature. For more
information, see the [Task
Force](https://ee.ok.gov/resource/hydrogen-task-force/) website.

(Reference [Senate Bill 1021, 2021](http://www.oklegislature.gov)), Laws and Regulations, 74.0, HY, OTHER, OTHER, http://www.oklegislature.gov, enacted"
2021,Oregon,"Public Electric Utility Cost Recovery Authorization, A public electric utility may seek cost recovery from retail electricity
consumers for transportation electrification infrastructure.

(Reference [Oregon Revised Statutes 757.357](https://www.oregonlegislature.gov/)), Laws and Regulations, 72.0, ELEC|PHEV, OTHER, AFP, https://www.oregonlegislature.gov/|https://www.oregonlegislature.gov/, enacted"
2021,Oregon,"Public Natural Gas Utility Cost Recovery Authorization, A public natural gas utility may seek cost recovery from retail natural
gas customers for infrastructure investments that supports alternative
fuel vehicles powered by renewable natural gas or hydrogen.

(Reference [Oregon Revised Statutes 757.398](https://www.oregonlegislature.gov/)), Laws and Regulations, 73.0, NG, OTHER, AFP, https://www.oregonlegislature.gov/|https://www.oregonlegislature.gov/, enacted"
2021,Oregon,"Electric Vehicle (EV) Charger Authorization at State Parks, The Oregon State Parks and Recreation Department allows the installation
and use of state-owned public EV chargers at parking spaces on state
park property. EV charger installations may be paid for through the
Parks and Recreation Transportation Electrification Fund.

(Reference [Oregon Revised Statutes 757.357](https://www.oregonlegislature.gov/)), Laws and Regulations, 135.0, ELEC|PHEV, OTHER, GOV, https://www.oregonlegislature.gov/|https://www.oregonlegislature.gov/, enacted"
2003,Oregon,"Public Utility Definition, A corporation, company, partnership, individual or association of
individuals that supplies electricity for use in motor vehicles is not
defined as a public utility.

(Reference [Oregon Revised Statues 757.005](https://www.oregonlegislature.gov/)), Laws and Regulations, 55.0, ELEC|PHEV, UTILITY, AFP, https://www.oregonlegislature.gov/, enacted"
2021,Rhode Island,"Electric Vehicle (EV) Infrastructure Development Support, The Rhode Island Department of Transportation, along with the Division
of Motor Vehicles and the Office of Energy Resources, published a
statewide public EV charging station
[plan](https://energy.ri.gov/sites/g/files/xkgbur741/files/2022-02/electrifying-transportation-guide-dec-2021.pdf)
in December 2021. The plan outlines needs, opportunities, and
recommendations for expanding EV charging infrastructure in Rhode
Island. Recommendations include:

-   Invest in incentive programs for EVs and EV chargers;
-   Increase equity considerations in EV and EV charger programs;
-   Increase electrification of transit and school busses and other
    medium- and heavy-duty vehicles;
-   Conduct an analysis on how transportation electrification will
    impact transportation revenue;
-   Support the decarbonization of electricity;
-   Develop a clean transportation dashboard to track electrification
    progress; and,
-   Lead by example through state agency action.

(Reference [Rhode Island General Laws 31-3.3-1](http://webserver.rilin.state.ri.us/Statutes/)), Laws and Regulations, 7.0, ELEC|PHEV, OTHER, GOV, https://www.rilegislature.gov/pages/legislation.aspx|http://webserver.rilin.state.ri.us/Statutes/, enacted"
2022,South Dakota,"Public Utility Definition, An entity that owns, operates, controls, or manages a facility that
supplies electricity to the public exclusively to charge electric
vehicles is not defined as a public utility.

(Reference [South Dakota Statutes 49-34A-116](http://sdlegislature.gov/Statutes/Codified_Laws/default.aspx)), Laws and Regulations, 65.0, ELEC|PHEV, UTILITY, STATION|AFP|OTHER, https://sdlegislature.gov/|http://sdlegislature.gov/Statutes/Codified_Laws/default.aspx, enacted"
,Oregon,"Oregon's National Electric Vehicle Infrastructure (NEVI) Planning, The U.S. Department of Transportation's (DOT) [NEVI Formula
Program](https://afdc.energy.gov/laws/12744) requires the Oregon
Department of Transportation (ODOT) to submit an annual EV
Infrastructure Deployment Plan (Plan) to the DOT and U.S. Department of
Energy (DOE) [Joint Office of Energy and
Transportation](https://driveelectric.gov) (Joint Office), describing
how the state intends to distribute NEVI funds. The submitted plans must
be established according to [NEVI
guidance](https://www.fhwa.dot.gov/environment/alternative_fuel_corridors/nominations/90d_nevi_formula_program_guidance.pdf).

For more information about Oregon's NEVI planning process, see the ODOT
[Oregon's Five-year EV Charging Infrastructure
Roadmap](https://www.oregon.gov/odot/climate/Pages/NEVI.aspx) website.
To review Oregon's NEVI plan, see the Joint Office [State Plans for EV
Charging](https://driveelectric.gov/state-plans/) website.
, State Incentives, ELEC|PHEV, GNT, STATION|GOV"
,Tennessee,"Tennessee's National Electric Vehicle Infrastructure (NEVI) Planning, The U.S. Department of Transportation's (DOT) [NEVI Formula
Program](https://afdc.energy.gov/laws/12744) requires the Tennessee
Department of Transportation (TDOT) to submit an annual EV
Infrastructure Deployment Plan (Plan) to the DOT and U.S. Department of
Energy (DOE) [Joint Office of Energy and
Transportation](https://driveelectric.gov) (Joint Office), describing
how the state intends to distribute NEVI funds. The submitted plans must
be established according to [NEVI
guidance](https://www.fhwa.dot.gov/environment/alternative_fuel_corridors/nominations/90d_nevi_formula_program_guidance.pdf).

For more information about Tennessee's NEVI planning process, see the
TDOT
[Plan](https://www.tn.gov/tdot/long-range-planning-home/air-quality-planning/tennessee-electric-vehicle-infrastructure--tevi-.html)
website. To review Tennessee's NEVI plan, see the Joint Office [State
Plans for EV Charging](https://driveelectric.gov/state-plans/) website.
, State Incentives, ELEC|PHEV, GNT, STATION|GOV"
,Pennsylvania,"Pennsylvania's National Electric Vehicle Infrastructure (NEVI) Planning, The U.S. Department of Transportation's (DOT) [NEVI Formula
Program](https://afdc.energy.gov/laws/12744) requires the Pennsylvania
Department of Transportation (PennDOT) to submit an annual EV
Infrastructure Deployment Plan (Plan) to the DOT and U.S. Department of
Energy (DOE) [Joint Office of Energy and
Transportation](https://driveelectric.gov) (Joint Office), describing
how the state intends to distribute NEVI funds. The submitted plans must
be established according to [NEVI
guidance](https://www.fhwa.dot.gov/environment/alternative_fuel_corridors/nominations/90d_nevi_formula_program_guidance.pdf).

For more information about Pennsylvania's NEVI planning process, see the
PennDOT
[Plan](https://www.penndot.pa.gov/ProjectAndPrograms/Planning/EVs/Pages/NEVI.aspx)
website. To review Pennsylvania's NEVI plan, see the Joint Office [State
Plans for EV Charging](https://driveelectric.gov/state-plans/) website.
, State Incentives, ELEC|PHEV, GNT, STATION|GOV"
,Oklahoma,"Oklahoma’s National Electric Vehicle Infrastructure (NEVI) Planning, The U.S. Department of Transportation's (DOT) [NEVI Formula
Program](https://afdc.energy.gov/laws/12744) requires the Oklahoma
Department of Transportation (ODOT) to submit an annual EV
Infrastructure Deployment Plan (Plan) to the DOT and U.S. Department of
Energy (DOE) [Joint Office of Energy and
Transportation](https://driveelectric.gov) (Joint Office), describing
how the state intends to distribute NEVI funds. The submitted plans must
be established according to [NEVI
guidance](https://www.fhwa.dot.gov/environment/alternative_fuel_corridors/nominations/90d_nevi_formula_program_guidance.pdf).

For more information about Oklahoma's NEVI planning process, see the
ODOT
[NEVI](https://oklahoma.gov/evok/infrastructure-program-highlights.html)
website. To review Oklahoma's NEVI plan, see the Joint Office [State
Plans for EV Charging](https://driveelectric.gov/state-plans/) website.
, State Incentives, 3.0, ELEC|PHEV, GNT, GOV"
,Ohio,"Ohio’s National Electric Vehicle Infrastructure (NEVI) Planning, The U.S. Department of Transportation's (DOT) [NEVI Formula
Program](https://afdc.energy.gov/laws/12744) requires the Ohio
Department of Transportation (ODOT) to submit an annual EV
Infrastructure Deployment Plan (Plan) to the DOT and U.S. Department of
Energy (DOE) [Joint Office of Energy and
Transportation](https://driveelectric.gov) (Joint Office), describing
how the state intends to distribute NEVI funds. The submitted plans must
be established according to [NEVI
guidance](https://www.fhwa.dot.gov/environment/alternative_fuel_corridors/nominations/90d_nevi_formula_program_guidance.pdf).

For more information about Ohio's NEVI planning process, see the ODOT
[NEVI](https://drive.ohio.gov/programs/electric/infrastructure/nevi/nevi)
website. To review Ohio's NEVI plan, see the Joint Office [State Plans
for EV Charging](https://driveelectric.gov/state-plans/) website.
, State Incentives, 4.0, ELEC|PHEV, GNT, GOV"
,South Dakota,"South Dakota's National Electric Vehicle Infrastructure (NEVI) Planning, The U.S. Department of Transportation's (DOT) [NEVI Formula
Program](https://afdc.energy.gov/laws/12744) requires the South Dakota
Department of Transportation (SDDOT) to submit an annual Electric
Vehicle Infrastructure Deployment Plan (Plan) to the DOT and U.S.
Department of Energy [Joint Office of Energy and
Transportation](https://driveelectric.gov) (Joint Office), describing
how the state intends to distribute NEVI funds. The submitted plans must
be established according to [NEVI
guidance](https://www.fhwa.dot.gov/environment/alternative_fuel_corridors/nominations/90d_nevi_formula_program_guidance.pdf).

For more information about South Dakota's NEVI planning process, see the
SDDOT [EV Plan](https://sdevplan.com/) website. To review South Dakota's
NEVI plan, see the Joint Office [State Plans for EV
Charging](https://driveelectric.gov/state-plans/) website.
, State Incentives, 3.0, ELEC|PHEV, GNT, GOV"
,Rhode Island,"Rhode Island's National Electric Vehicle Infrastructure (NEVI) Planning, The U.S. Department of Transportation's (DOT) [NEVI Formula
Program](https://afdc.energy.gov/laws/12744) requires the Rhode Island
Department of Transportation (RIDOT) to submit an annual EV
Infrastructure Deployment Plan (Plan) to the DOT and U.S. Department of
Energy (DOE) [Joint Office of Energy and
Transportation](https://driveelectric.gov) (Joint Office), describing
how the state intends to distribute NEVI funds. The submitted plans must
be established according to [NEVI
guidance](https://www.fhwa.dot.gov/environment/alternative_fuel_corridors/nominations/90d_nevi_formula_program_guidance.pdf).

For more information about Rhode Island's NEVI planning process, see the
Rhode Island Office of Energy Resources [NEVI
Plan](https://energy.ri.gov/rinevi) website. To review Rhode Island's
NEVI plan, see the Joint Office [State Plans for EV
Charging](https://driveelectric.gov/state-plans/) website.
, State Incentives, 2.0, ELEC|PHEV, GNT, GOV"
,Rhode Island,"Fleet Zero Emission Vehicle (ZEV) Rebates, The Driving Rhode Island to Vehicle Electrification Fleet (DRIVE EV
Fleet) program offers rebates of up to \$1,500 for the purchase or lease
of a new ZEV and \$1,000 for the purchase or lease of a pre-owned ZEV.
New vehicles may not have a purchase price above \$60,000, and pre-owned
vehicles may not have a purchase price above \$40,000. All eligible
vehicles must be purchased on or after July 7, 2022. An additional
rebate of \$500 per vehicle is available for applicants located in
high-asthma communities. ZEVs include all-electric vehicles and hydrogen
fuel cell electric vehicles. Eligible applicants include small
businesses with less than 500 employees, non-profit organizations, state
and local government agencies, school districts, and public libraries.
Rebates are available on a first-come, first-served basis. Applicants
may receive a maximum of five rebates every two years. For more
information, including a list of high-asthma communities, see the [DRIVE
EV Fleet](https://drive.ri.gov/ev-programs/drive-fleet) website.
, State Incentives, 15.0, ELEC|HY, RBATE, FLEET|GOV|OTHER|TRANS"
2022,Oklahoma,"Regional Electric Vehicle (EV) and Autonomous Vehicle (AV) Support, Oklahoma joined Arkansas (Signatory States) in signing a memorandum of
understanding (MOU) to support advanced mobility solutions, including
EVs, AVs, and battery manufacturing. Signatory States are committed to:

-   Establishing a launch pad for research and commercialization of EVs,
    AVs, and battery manufacturing;
-   Collaborating with industry leaders and fueling stations;
-   Supporting workforce development opportunities; and,
-   Coordinating EV, AV, and battery manufacturing economic development
    efforts across the region.

For more information, see the Oklahoma Governor's Office [press
release](https://oklahoma.gov/ocast/about-ocast/news/governors-stitt--hutchinson-partner-to-create-super-region-for-a.html).
, Laws and Regulations, 20.0, AUTONOMOUS|ELEC|OTHER, OTHER, GOV, enacted"
,Pennsylvania,"Diesel Emission Reduction Grants, The Pennsylvania Department of Environmental Protection (DEP)
administers the Pennsylvania State Clean Diesel Grant Program for diesel
emission reduction projects. Projects are funded by Pennsylvania's
portion of the Volkswagen Environmental Mitigation Trust and the U.S.
Environmental Protection Agency's Diesel Emission Reduction Act (DERA)
Program. For more information, including funding availability, see the
DEP [Driving PA
Forward](https://storymaps.arcgis.com/stories/6f5db16b8399488a8ef2567e1affa1e2)
website.
, State Incentives, 25.0, BIOD|ETH|ELEC|HEV|HY|NG|PHEV|LPG, GNT, FLEET|GOV"
,Pennsylvania,"Off-Road Electric Equipment Grants, The Pennsylvania Department of Environmental Protection (DEP) offers
grants for the replacement of airport ground support equipment,
forklifts, and port cargo handling equipment with an all-electric
equivalent. For more information, see the DEP [Driving Pennsylvania
Forward](http://www.depgis.state.pa.us/DrivingPAForward/) website.
, State Incentives, 37.0, ELEC, GNT, FLEET"
,Pennsylvania,"Heavy-Duty Emission Reduction Grants, The Pennsylvania Department of Environmental Protection (DEP) offers
grants for the repower or replacement of ferries, tugboats, and freight
switcher locomotives with any new U.S. Environmental Protection Agency
or California Air and Resource Board-certified diesel, alternative fuel,
or all-electric equivalent. For more information, see the DEP [Driving
Pennsylvania Forward](http://www.depgis.state.pa.us/DrivingPAForward/)
website.
, State Incentives, 33.0, BIOD|ETH|ELEC|HEV|HY|NG|PHEV|LPG|RD, GNT, FLEET"
2022,Pennsylvania,"Hydrogen and Natural Gas Tax Credit, Businesses may receive a tax credit for the purchase of hydrogen or
natural gas from a Regional Clean Hydrogen Hub in Pennsylvania. Tax
credits may be equal to \$0.81 per kilogram of hydrogen and \$0.47 per
one thousand cubic feet of natural gas purchased for use in
manufacturing at a facility that is part of a Regional Clean Hydrogen
Hub. Additional requirements apply. For more information, see the
Pennsylvania Department of Revenue [Regional Clean Hydrogen Hubs Tax
Credit](https://www.revenue.pa.gov/IncentivesCreditsPrograms/PAEDGE/Pages/Regional-Clean-Hydrogen-Hubs-Tax-Credit.aspx)
website.

(Reference [Title 72 Pennsylvania Statutes, Chapter 5, Article 17-L, Subarticle D](https://www.legis.state.pa.us/cfdocs/legis/LI/Public/cons_index.cfm)), State Incentives, 38.0, HY|NG, TAX, PURCH, https://www.legis.state.pa.us/|https://www.legis.state.pa.us/cfdocs/legis/LI/Public/cons_index.cfm, enacted"
,Pennsylvania,"Automotive Fuel Testing Program and Labeling Requirement, The Pennsylvania Department of Agriculture may test automotive fuel,
including alternative fuels, on a random, unannounced basis. For the
purpose of this testing requirement, alternative fuels include, but are
not limited to, methanol; mixtures of gasoline containing 85% or more by
volume of methanol, denatured ethanol, and other alcohols; liquefied
natural gas; liquefied petroleum gas; and coal-derived liquid fuels.
Automotive fuel retailers must label fuel dispensers with the
appropriate automotive fuel rating.

(Reference [Title 3 Pennsylvania Statutes, Chapter 41, Sections 4187.2, 4187.3, 4187.5](https://www.legis.state.pa.us/cfdocs/legis/LI/Public/index.cfm)), Laws and Regulations, 80.0, ETH|NG|OTHER, REGIS, STATION, https://www.legis.state.pa.us/cfdocs/legis/LI/Public/index.cfm"
,Oregon,"Community Electric Vehicle (EV) Charger Grant, The Oregon Department of Energy (ODOE) administers the Community
Renewable Energy Grant Program, which offers grants to tribal entities,
local governments, port and irrigation districts, and consumer-owned
utilities to plan and develop community renewable energy and energy
resilience projects. Eligible projects include publicly accessible EV
chargers. Grant amounts vary and may cover up to 100% of total project
costs. Half of program funds must be awarded to low-income, underserved,
or rural communities. Grants are awarded on a competitive basis. For
more information, see the ODOE [Community Renewable Energy
Grant](https://www.oregon.gov/energy/Incentives/Pages/CREP.aspx) Program
website.
, State Incentives, 7.0, ELEC|PHEV, GNT, PURCH|GOV|TRIBAL"
,Rhode Island,"Alternative Fuel Vehicle (AFV) Procurement Study, The Rhode Island Department of Administration (DOA) must, among other
things, analyze the number of electric vehicles (EVs) in the state fleet
and assess the feasibility of transitioning the state vehicle fleet to
AFVs and expanding EV charging infrastructure. DOA must submit a report
of their findings to the Rhode Island Senate by February 1, 2024.

(Reference [Senate Resolution 15, 2023](https://www.rilegislature.gov/pages/legislation.aspx)), Laws and Regulations, 60.0, BIOD|ETH|ELEC|HEV|HY|NG|PHEV|LPG|RD, OTHER, GOV, https://www.rilegislature.gov/pages/legislation.aspx"
2023,Rhode Island,"Low-Speed Vehicle Access to Roadways, Beginning July 1, 2024, a low-speed vehicle is defined as a four wheeled
electric vehicle that has a maximum speed greater than 20 miles per hour
(mph) but not more than 25 mph, has a gross vehicle weight rating of
less than 3,000 pounds, and conforms to the maximum safety equipment
requirements and standards specified in Title 49 of the [Code of Federal
Regulations](https://www.govinfo.gov/app/collection/cfr), section
571.500. Low speed vehicles may not be driven on any roadway or highway
with a speed limit greater than 35 mph. Additional requirements apply.

(Reference [Rhode Island General Laws 31-19.6-1](http://webserver.rilin.state.ri.us/Statutes/)), Laws and Regulations, 48.0, ELEC, DREST, FLEET|GOV|IND, http://webserver.rilin.state.ri.us/Statutes/|https://legislature.vermont.gov/, enacted"
2023,Rhode Island," Electric Vehicle (EV) Time-Of-Use (TOU) Rate Development Requirements, When developing EV TOU rate programs, Rhode Island Energy must complete
a cost-benefit analysis that considers the financial impacts of
encouraging consumers to charge EVs during off-peak hours. Additional
terms and conditions apply.

(Reference [Senate Resolution 962, 2023](https://legislature.vermont.gov/)), Laws and Regulations, 49.0, ELEC, OTHER, AFP, https://legislature.vermont.gov/, enacted"
2023,Oklahoma,"Public Utility Electric Vehicle (EV) Charger and Hydrogen Fueling Station Requirements, Retail electric suppliers may only offer direct current (DC) fast
charger or hydrogen fueling station services through a separate,
unregulated entity and must offer the same fees, terms, charges, and
conditions that private retail EV charger providers offer. Retail
electric suppliers may not subsidize EV chargers or hydrogen fueling
stations with fees or services charges collected through regulated
service offerings. The Oklahoma Corporate Commission may enforce
penalties on any retail electric suppliers that violate these
requirements. Additional conditions apply.

(Reference [Oklahoma Statutes 17-160.31 through 17-160.37](http://www.oklegislature.gov/)), Laws and Regulations, 135.0, ELEC|HY|PHEV, OTHER, STATION|AFP|GOV, http://www.oklegislature.gov/|http://www.oklegislature.gov/, enacted"
2023,Oklahoma,"Municipal Electric Vehicle (EV) Charger and Hydrogen Fueling Fee Requirements , A municipality that owns or operates EV chargers or hydrogen fueling
stations may not use revenue from the sale of electricity to construct
or maintain such EV chargers or hydrogen fueling stations. This
requirement only applies to electricity from municipally owned electric
distribution systems. Additional conditions apply.

(Reference [Oklahoma Statutes 17-160.35](http://www.oklegislature.gov/)), Laws and Regulations, 135.0, ELEC|HY|PHEV, OTHER, STATION|GOV, http://www.oklegislature.gov/|http://www.oklegislature.gov/, enacted"
2023,Oregon,"Electric Vehicle (EV) Charger Certification , EV chargers that are funded or authorized by an Oregon state agency must
be installed by a licensed contractor that holds either an [Electric
Vehicle Infrastructure Training Program](https://evitp.org/) (EVITP)
certification or equivalent training program certification. This
requirement does not apply to EV chargers installed at single-family
dwellings, townhouses, or multifamily housing with four or fewer
residential units. Additional requirements apply.

The Oregon Electrical and Elevator Board may audit EVITP to ensure that
it includes the most current national electrical codes and best
practices for the installation of EV chargers.

(Reference [Senate Bill 582, 2023](https://www.oregonlegislature.gov/bills_laws)), Laws and Regulations, 57.0, ELEC|PHEV, OTHER, GOV|OTHER, https://www.oregonlegislature.gov/bills_laws, enacted"
2023,Rhode Island,"Medium- and Heavy-Duty Zero Emission Vehicle (ZEV) Requirement, Rhode Island has adopted the California Advanced Clean Trucks
requirements specified in Title 13 of the California Code of
Regulations, requiring manufacturers to meet California's ZEV production
and sales requirements. Beginning with model year 2027, manufacturers
will be required to sell zero-emission trucks as an increasing
percentage of their annual sales for Class 2b through Class 8 vehicles
in Rhode Island. ZEVs include all-electric and fuel cell electric
vehicles. For more information, see the Rhode Island Department of
Environmental Management [Advanced Clean Cars II and Advanced Clean
Trucks](https://dem.ri.gov/environmental-protection-bureau/air-resources/advanced-clean-cars-ii-advanced-clean-trucks)
website.

(Reference [Rhode Island Department of Environmental Management Regulation Chapter 12-05-37](http://www.dem.ri.gov/pubs/regs/index.htm)), Laws and Regulations, 26.0, ELEC|HY, AIRQEMISSIONS|OTHER, MAN|FLEET|GOV, http://www.dem.ri.gov/pubs/regs/index.htm, enacted"
2024,South Dakota,"Ethanol Blend Tax Refund, Beginning January 1, 2025, retailers that sell ethanol fuel blends
containing 15% ethanol (E15) are eligible for a tax refund of \$0.05 per
gallon. For more information, including how to apply, see the South
Dakota Department of Revenue [Motor Fuel Excise
Tax](https://dor.sd.gov/individuals/taxes/motor-fuel/) website.

(Reference [Senate Bill 78, 2024](https://sdlegislature.gov/)), State Incentives, 5.0, ETH, TAX, STATION, https://sdlegislature.gov/|http://sdlegislature.gov/Statutes/Codified_Laws/default.aspx, enacted"
2024,Oregon,"Electric Vehicle (EV) Charger Rebates, The Oregon Department of Transportation (ODOT) offers a rebate for the
purchase and installation of qualifying EV chargers to businesses;
multifamily housing (MFH); and state, local, and tribal government
entities for the purchase and installation of qualifying EV chargers.
Rebates amounts vary by charger type and may cover 75% of project costs,
up to the following amounts:

::: {align=""center""}
EV Charger Location
:::

EV Charger Type

Maximum Rebate per Port

Public

Level 2

\$5,500

Workplace

Level 2

\$3,500

Level 1

\$750

MFH

Level 2

\$5,500

Level 1

\$750

Seventy percent of the project funds are reserved for projects located
within rural or disadvantaged communities. Rebates are awarded on a
first-come, first-served basis. For more information, including
eligibility and how to apply, see the ODOT [Community Charging Rebates
Program](https://www.oregon.gov/odot/climate/Pages/communitychargingrebates.aspx)
website.
, State Incentives, 8.0, ELEC|PHEV, RBATE, STATION|FLEET|GOV|MUD, enacted"
,Tennessee,"Public Utility Definition, Electric vehicle (EV) chargers that provide electricity exclusively for
EVs are not considered public utilities within the Tennessee Valley
Authority (TVA) service area. EV chargers located outside of TVA's
territory may be subject to different regulations. For more information,
see the TVA [EnergyRight](https://energyright.com/ev/) website.
, Laws and Regulations, 37.0, ELEC|PHEV, UTILITY, OTHER"
2023,Oklahoma,"Ethanol and Methanol Labeling Requirement, Ethanol fuel retailers must clearly label motor fuel pumps dispensing
15% ethanol (E15) fuel blends. The labeling must follow established,
federal labeling specifications for E15, including prominent display of
fuel type, blend, and vehicle applicability. All motor fuel pumps
dispensing ethanol or methanol must state ""Contains Ethanol"" or
""Contains Methanol."" Additional requirements apply.

(Reference [Oklahoma Statute 17-347](http://www.oklegislature.gov/index.aspx), [Code of Federal Regulations 1090.1510](https://www.ecfr.gov/), and [Oklahoma Senate Bill 255, 2023](https://legiscan.com/OK/text/SB255/2023)), Laws and Regulations, 136.0, ETH|OTHER, REGIS, STATION, http://www.oklegislature.gov/index.aspx|https://www.ecfr.gov/|https://legiscan.com/OK/text/SB255/2023, enacted"
2024,Pennsylvania,"Electric Vehicle (EV) Fee, Beginning January 1, 2025, in addition to standard vehicle registration
fees, EV owners must pay an annual fee of \$200, and plug-in hybrid
electric vehicle owners must pay an annual fee of \$50.

(Reference [Senate Bill 656, 2024](https://www.legis.state.pa.us/cfdocs/legis/home/bills/)), Laws and Regulations, 85.0, ELEC|PHEV, EVFEE, IND, https://www.legis.state.pa.us/cfdocs/legis/home/bills/, enacted"
2024,Pennsylvania,"Alternative Fuel Tax Exemption for Electric Vehicles (EVs), Beginning January 1, 2025, EVs that are subject to the annual [EV
registration fee](https://afdc.energy.gov/laws/13521) are exempt from
the [Alternative Fuels Tax](https://afdc.energy.gov/laws/5376).

(Reference [Senate Bill 656, 2024](https://www.legis.state.pa.us/cfdocs/legis/home/bills/)), State Incentives, 45.0, ELEC|PHEV, EXEM|TAX, IND, https://www.legis.state.pa.us/cfdocs/legis/home/bills/, enacted"
